time,"ADC0","ADC1"
"2018-09-26 05:30:56.435940",1331,1342,
"2018-09-26 05:35:56.510022",1331,1342,
"2018-09-26 05:40:56.574728",1331,1343,
"2018-09-26 05:45:56.646846",1331,1343,
"2018-09-26 05:50:56.677264",1331,1343,
"2018-09-26 05:55:56.745837",1331,1343,
"2018-09-26 06:00:56.808936",1331,1342,
"2018-09-26 06:05:56.849046",1331,1343,
"2018-09-26 06:10:56.922897",1331,1343,
"2018-09-26 06:15:55.973269",1331,1343,
"2018-09-26 06:20:56.210540",1331,1343,
"2018-09-26 06:25:56.805680",1331,1343,
"2018-09-26 06:30:56.881756",1331,1343,
"2018-09-26 06:35:56.914330",1331,1343,
"2018-09-26 06:40:55.948795",1331,1343,
"2018-09-26 06:45:56.030458",1331,1343,
"2018-09-26 06:50:56.057795",1331,1343,
"2018-09-26 06:55:56.102844",1331,1343,
"2018-09-26 07:00:56.171648",1331,1343,
"2018-09-26 07:05:56.234970",1331,1343,
"2018-09-26 07:10:56.363714",1331,1343,
"2018-09-26 07:15:56.442256",1331,1343,
"2018-09-26 07:20:56.643605",1331,1343,
"2018-09-26 07:25:56.766963",1331,1343,
"2018-09-26 07:30:56.849019",1331,1343,
"2018-09-26 07:35:56.916862",1331,1343,
"2018-09-26 07:40:56.009147",1331,1343,
"2018-09-26 07:45:56.081725",1331,1343,
"2018-09-26 07:50:56.106326",1331,1343,
"2018-09-26 07:55:56.247005",1331,1343,
"2018-09-26 08:00:56.326420",1331,1343,
"2018-09-26 08:05:56.429937",1331,1343,
"2018-09-26 08:10:56.525897",1331,1343,
"2018-09-26 08:15:56.565807",1331,1343,
"2018-09-26 08:20:56.880277",1331,1343,
"2018-09-26 08:25:56.990654",1331,1343,
"2018-09-26 08:30:56.070694",1331,1343,
"2018-09-26 08:35:56.137824",1331,1343,
"2018-09-26 08:40:56.175122",1332,1343,
"2018-09-26 08:45:56.174305",1332,1343,
"2018-09-26 08:50:56.231687",1331,1343,
"2018-09-26 08:55:56.311796",1332,1343,
"2018-09-26 09:00:56.406770",1331,1343,
"2018-09-26 09:05:56.482329",1331,1343,
"2018-09-26 09:10:56.553545",1331,1343,
"2018-09-26 09:15:56.617791",1331,1343,
"2018-09-26 09:20:56.864498",1332,1343,
